"ID","title","description","date","creator","ts_key","collection","timestamp","relation","subject","reference"
120,"Interpreting the Shootings in Boise: Alternative Perspectives","Boise State University Student ACLU club presents a panel discussion on police shooting and violence after the killing of Boise Police officer Mark Stall. Panel discussion includes professors Dr. Michael Blain, Dr. Edward McLuskie, and student Lauri Arnold.","1997-10-08","University Television Productions","R6vB","University Television Productions",12/20/2017 12:29:21,"Sociology","civil liberties","RG 58, Box 24, UTP19971008"
121,"30 Years of Sound","Documentary about the history of the Keith Stein Blue Thunder Marching Band, from its inception in 1987 to the present. Includes a short history of the band program from 1932 through the 1970s.","2017","Arthur Aguilera","beU9","Archives Media",12/20/2017 12:30:12,"Music","music","UER RG 38, A17-20"
122,"Football vs. Delaware State","Boise State University Football vs. Delaware State, including the introduction of the Keith Stein Blue Thunder Marching Band.","1987-09-05","Boise State University","9crz","Athletics",12/20/2017 12:33:32,"Music","music","RG 30.7"
123,"West Dam, I/O Tower and P1 Tunnel Project","An Morrison Knudsen (MK) and H.B. Zachry joint venture project for the Metropolitan Water District of Southern California, building one of the largest earth filled dams in North America. This documentary also covers leading edge technologies in heavy equipment, civil engineering.","1999","Morrison-Knudsen Company Inc.","3HJ3","Morrison Knudsen Company",12/20/2017 12:37:43,"Morrison-Knudsen Company Inc.","Power industry; Engineering & construction","MSS 296, video"
124,"Content for ""A Day in the Life: Campus Shots""","Raw video clips for the project ""A Day in the Life: Campus Shots."" Includes scenes from classrooms, the Spirit of the Bronco Statue in snow, Friendship Bridge, Student Union bookstore entrance and dancing outside the SUB, the Recreation Center climbing wall, and timelapse of a football game crowd.","2014","Boise State University, Communications and Marketing","IrbH","Archives Media",12/20/2017 12:37:10,"Communications and Marketing","campus","UER: RG 0216, A17-24, 9223"
125,"Dr. Keiser State of the University","Boise State University President Dr. John Keiser State of the University Address, highlights featured on Focus on Boise State with John Franden.","1987-01-12","University Television Productions","bdhn","University Television Productions",12/20/2017 12:39:15,"University President","planning","RG 58, Box 5, UTP19870114"
126,"Dr. Keiser State of the University","Boise State University President Dr. John Keiser State of the University Address.","1989-08-21","University Television Productions","3JsV","University Television Productions",12/20/2017 12:39:36,"University President","planning","RG 58, Box 15, UTP19890821"
127,"Little Women","College of Arts and Science Department of Theatre Arts presents Little Women. Clips of scenes, Richard Klautsch and actor interviews.","2015-03-04","Communications and Marketing","kZGk","Archives Media",12/7/2017 8:44:10,"Theatre Arts","performing arts","UER RG 216, A17-24, 9268"
128,"Dr. Kustra State Of The University","President Bob Kustra delivers the State of the University.","2014-08-20","Communications and Marketing","oK44","Archives Media",12/7/2017 8:44:11,"University President","planning","UER RG 216, A17-24, 9268"
129,"Winter Commencement","Short slide show video of winter commencement.","2014-12-19","Communications and Marketing","Ma15","Archives Media",12/7/2017 8:44:11,"Commencement",,"UER RG 216, A17-24, 9268"
130,"Administration Plaza B Installation","Short video showing the install of the Plaza Boise State ""B.""","2014-05-09","Communications and Marketing","07SP","Archives Media",12/18/2017 14:19:53,"Communications and Marketing","campus; construction","UER RG 216, A17-24, 9268"
131,"Slideshow for Advancement","Slide show and clips showing moments from the 2014 school year.","2014-12-19","Communications and Marketing","ikiv","Archives Media",12/7/2017 8:44:12,"Advancement","campus life","UER RG 216, A17-24, 9268"
132,"Campus Flyover June 3, 2013","Short video of a campus flyover on June 3rd, 2013.","2013-06-03","Communications and Marketing","jJrT","Archives Media",12/18/2017 14:19:40,"Communications and Marketing","campus; aerial views","UER RG 216, A17-24, 9268"
133,"Aerial View June 2013","Short video of a campus flyover on June 4th, 2013.","2013-06-04","Communications and Marketing","wWys","Archives Media",12/18/2017 14:19:40,"Communications and Marketing","campus; aerial views","UER RG 216, A17-24, 9268"
134,"airport advertisement","Boise State University advertisement for the Boise International Airport, short slideshow.","2013-01-10","Communications and Marketing","qTfo","Archives Media",12/18/2017 14:19:40,"Communications and Marketing","promotions","UER RG 216, A17-24, 9268"
135,"airport advertisement","Boise State University advertisement for the Boise International Airport, short slideshow.","2012-12-11","Communications and Marketing","TLQw","Archives Media",12/18/2017 14:19:40,"Communications and Marketing","promotions","UER RG 216, A17-24, 9268"
136,"Alex Punnoose","Dr. Alex Punnoose explains nanotechnology and cancer treatment at Boise State University.","2013-02-19","Communications and Marketing","ifYS","Archives Media",12/7/2017 8:44:15,"Material Science Engineering; Chemistry","research","UER RG 216, A17-24, 9268"
137,"All Steinway Initiative","Mark Hansen (Chair of the Music Department) and Mona Morrison (Institutional Sales Director at Dunkley Music) explains the importance of bringing 29 Steinway pianos to Boise State University's campus.","2011-12-11","Communications and Marketing","qpVm","Archives Media",12/7/2017 8:44:15,"Music Department","equipment and supplies","UER RG 216, A17-24, 9268"
138,"Allen Dykman","Allen Dykman gives his acceptance speech on being awarded an Honorary Doctorate Degree from Boise State University.","2012-05-12","Communications and Marketing","TEoG","Archives Media",12/7/2017 8:44:16,"Office of the Provost","alumni","UER RG 216, A17-24, 9268"
139,"Arts & Humanities","Promo video for the Arts & Humanities at Boise State University. Still images and videos showcase a variety of activities that can be pursued on campus, including; Department of Theatre Arts, Department of Music, Fine Arts, and more.","2013-05-30","Communications and Marketing","DHZA","Archives Media",12/7/2017 8:44:21,"College of Arts and Sciences","academic programs","UER RG 216, A17-24, 9268"
